Player,Age,Team,Position,Games,Games Started,Avg minutes played,Avg field goal,Avg field goal attempts,Field goal percentage,avg three points made,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Dalton Knecht,24,LAL,SF,30,1,13.3,2,4.5,0.441,0.9,2.7,0.329,1.1,1.8,0.611,0.54,0.4,0.5,0.688,0.4,1.4,1.7,0.4,0.3,0.3,0.5,1.1,5.3
Luke Kornet,30,SAS,C,29,21,24.9,3.2,4.8,0.662,0,0,,3.2,4.8,0.662,0.662,2.1,2.5,0.833,3,3.7,6.7,2.1,0.4,1.4,0.5,2.1,8.4
Isaiah Livers,27,PHO,PF,19,0,10.7,0.6,1.9,0.324,0.5,1.5,0.321,0.2,0.5,0.333,0.446,0.3,0.3,0.833,0.6,1.4,2,0.7,0.4,0.3,0.5,1.2,2
Kevon Looney,29,NOP,C,16,6,14.2,1.1,2.8,0.4,0.1,0.6,0.111,1.1,2.3,0.472,0.411,0.3,0.5,0.625,2.3,2.7,5,1.6,0.4,0.5,0.5,1.9,2.6
Khaman Maluach,19,PHO,C,17,0,4.6,0.5,1.1,0.421,0,0.3,0,0.5,0.8,0.571,0.421,0.4,0.5,0.875,0.3,0.7,1,0.2,0.1,0.4,0.5,0.8,1.4
Liam McNeeley,20,CHO,SF,26,0,12.5,1.3,3.2,0.393,0.8,2.2,0.386,0.4,1,0.407,0.524,1,1.2,0.806,0.4,1.8,2.2,0.8,0.2,0.1,0.5,1.3,4.3
Landry Shamet,28,NYK,SG,15,6,20.9,2.8,6.2,0.452,1.9,4.4,0.424,0.9,1.8,0.519,0.602,1.8,2.3,0.794,0.5,1.5,2,1.2,0.4,0.2,0.5,1.3,9.3
Tolu Smith,25,DET,PF,4,0,7,1.5,2,0.75,0,0,,1.5,2,0.75,0.75,1.3,1.8,0.714,1,2.5,3.5,0.8,0.3,0.3,0.5,1,4.3
Jabari Walker,23,PHI,PF,33,6,12.7,1.4,3.3,0.435,0.4,1.3,0.279,1.1,2,0.538,0.491,0.8,1.2,0.737,1.3,2.1,3.4,0.5,0.2,0.3,0.5,1.7,4.1
Ja'Kobe Walter,21,TOR,SG,35,7,17.7,2,4.7,0.422,1.1,3.1,0.358,0.9,1.6,0.544,0.539,0.8,1,0.75,0.7,1.3,2.1,0.9,0.9,0.1,0.5,1.9,5.9
Robert Williams,28,POR,C,25,1,16.1,2.6,3.8,0.691,0,0.4,0.111,2.6,3.4,0.753,0.697,0.5,0.8,0.684,2.1,4,6.1,1,0.6,1.3,0.5,1.3,5.8
Jalen Wilson,25,BRK,PF,23,0,13.9,1.5,4.1,0.368,1,2.7,0.355,0.6,1.4,0.394,0.484,0.9,1.2,0.778,0.1,0.9,1,0.5,0.3,0,0.5,1.2,4.9
Jamaree Bouyea,26,PHO,PG,19,0,14.7,3.1,5.5,0.562,0.8,2.1,0.41,2.3,3.5,0.652,0.638,0.6,0.8,0.688,0.5,1.5,2.1,1.7,0.6,0.4,0.4,0.7,7.6
Tony Bradley,28,IND,C,29,3,10.7,1.6,2.8,0.563,0,0,0,1.6,2.7,0.57,0.563,0.8,1.1,0.727,1.6,1.1,2.6,0.5,0.1,0.2,0.4,1.9,3.9
